file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\Weeks.java,org.joda.time.Weeks,class,19,42,2,0,28,313,26,24,6,8,6,8,35,446
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\convert\ReadableIntervalConverter.java,org.joda.time.convert.ReadableIntervalConverter,class,10,9,2,0,9,15,6,5,0,1,0,1,1,106
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\chrono\StrictChronology.java,org.joda.time.chrono.StrictChronology,class,6,17,4,0,12,34,9,6,2,2,0,1,27,141
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\DateTime.java,org.joda.time.DateTime,class,21,165,5,0,81,7450,125,120,5,4,0,2,11,2190
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\base\AbstractDateTime.java,org.joda.time.base.AbstractDateTime,class,4,28,2,1,32,276,24,23,0,0,0,0,4,300
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestDuration_Constructors.java,org.joda.time.TestDuration_Constructors,class,8,23,2,0,22,245,23,21,2,10,0,2,32,216
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestAllPackages.java,org.joda.time.TestAllPackages,class,5,3,2,0,13,3,3,3,2,0,0,0,10,51
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\TestPeriod_Constructors.java,org.joda.time.TestPeriod_Constructors,class,18,129,2,0,54,6103,111,109,2,7,0,1,188,1408
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\field\FieldUtils.java,org.joda.time.field.FieldUtils,class,3,56,1,0,6,136,17,16,16,0,0,0,12,322
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\YearMonth.java,org.joda.time.YearMonth,class,18,72,4,0,53,1416,56,50,7,7,2,5,20,926
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\MockZone.java,org.joda.time.MockZone,class,1,11,2,0,0,12,8,8,0,3,0,0,0,48
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\MutablePeriod.java,org.joda.time.MutablePeriod,class,14,77,3,0,52,2556,72,72,2,1,0,1,35,936
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\tz\NameProvider.java,org.joda.time.tz.NameProvider,interface,0,2,1,0,0,1,2,0,0,0,0,0,0,41
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\ClassLoadTest.java,org.joda.time.ClassLoadTest,class,5,1,1,0,1,0,1,1,1,0,0,0,0,47
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\chrono\gj\TestJulianChronology.java,org.joda.time.chrono.gj.TestJulianChronology,class,8,30,4,0,10,103,15,7,0,1,0,1,7,145
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\chrono\TestLenientChronology.java,org.joda.time.chrono.TestLenientChronology,class,8,17,2,0,16,99,15,13,2,3,0,3,27,146
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\test\java\org\joda\time\field\TestOffsetDateTimeField.java,org.joda.time.field.TestOffsetDateTimeField,class,10,74,11,0,64,1770,60,56,2,0,0,0,40,466
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\chrono\BasicGJChronology.java,org.joda.time.chrono.BasicGJChronology,class,4,46,5,2,7,26,8,0,0,6,0,6,0,176
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\field\DelegatedDateTimeField.java,org.joda.time.field.DelegatedDateTimeField,class,5,57,2,4,50,0,54,54,0,4,0,1,0,237
C:\Users\bombarli\Desktop\TUM\summer_2018\practical\metric-summary\metrics\scripts\execution-scenario\script_1\expected\Time\Time_2_buggy\src\main\java\org\joda\time\field\BaseDateTimeField.java,org.joda.time.field.BaseDateTimeField,class,6,89,2,5,46,1269,51,49,0,1,0,0,6,939
