class,num_Files,num_Classes,num_Methods,num_Lines,num_Added,num_Removed,num_Modified,num_Chunks,num_Failing_Tests,num_Repair_Actions,num_Repair_Patterns,First_Exception,Loc_Predicat,Loc_ConditionalBlock,Loc_FunctionBody,Loc_Constructor,Loc_LoopBody
org.joda.time.Chronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DateTimeFieldType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DateTimeUtils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DateTimeZone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DurationField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DurationFieldType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.IllegalFieldValueException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.IllegalInstantException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.JodaTimePermission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.Partial,2,2,2,13,9,3,1,3,1,7,4,1,0,1,0,0,0
org.joda.time.base.AbstractPartial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.AssembledChronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BaseChronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicChronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicDayOfMonthDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicDayOfYearDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicGJChronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicMonthOfYearDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
