class,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,Tot2Op,Max2Op,TotMaxOp,MaxTotOp,Tot2Lev,Max2Lev,TotMaxLev,MaxTotLev,Tot2DF,Max2DF,TotMaxDF,MaxTotDF,Tot2DU,Max2DU,TotMaxDU,MaxTotDU,TotInMetCall,MaxInMetCall,inOutDeg,pubMembers,num_Files,num_Classes,num_Methods,num_Lines,num_Added,num_Removed,num_Modified,num_Chunks,num_Failing_Tests,num_Repair_Actions,num_Repair_Patterns,First_Exception,Loc_Predicat,Loc_ConditionalBlock,Loc_FunctionBody,Loc_Constructor,Loc_LoopBody,Ncf,Nuf,Ncs,Ns,Nf,Ntsc,Ndsc,Nntc,runtime,passTestRatio,failTestRatio,TotPassTestRatio,TotFailTestRatio,NTestRunPerRT,Um,Md,Nmd,Gs,DDU,Jaccard,label
org.joda.time.Partial,14,98,3,0,57,560,45,40,0,8,0,2,20,947,159,3,30,34,227,7,35,83,50,21,29,95,48,7,30,75,8,4,23,30,2,2,2,13,9,3,1,3,1,7,4,1,0,1,0,0,0,0,22,0,3801,22,0,2,3823,88,0,0,0.0,0.0,0.0,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0,Perfect
org.joda.time.chrono.GJMonthOfYearDateTimeField,2,6,5,0,6,15,6,4,0,1,0,1,5,56,0,0,0,0,0,0,0,0,9,2,9,2,9,2,9,2,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,309,3801,22,1103,30,3823,88,0.9903846153846154,0.009615384615384616,0.08082657598744442,0.0007847240387130526,3.5454545454545454,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.00906344410876133,Fair
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,6,17,4,0,15,36,13,10,0,2,0,1,4,103,14,2,11,4,7,2,3,5,45,4,29,12,46,4,29,12,2,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,1791,3801,22,20645,110,3823,88,0.9905973451327433,0.009402654867256638,0.4684802511116924,0.004446769552707298,20.545454545454547,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.009376723662437948,Fair
org.joda.time.field.DecoratedDurationField,3,12,3,1,9,0,10,10,0,2,0,1,0,89,3,1,1,3,2,1,1,2,25,3,22,4,26,3,23,5,8,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,674,3801,22,2621,16,3823,88,0.9970414201183432,0.0029585798816568047,0.17630133403086581,0.000523149359142035,7.681818181818182,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0028735632183908046,Bad
org.joda.time.chrono.BasicGJChronology,4,46,5,2,7,26,8,0,0,6,0,6,0,176,36,3,11,16,27,3,8,12,92,9,31,42,71,3,20,30,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,347,3801,22,992,22,3823,88,0.9971264367816092,0.0028735632183908046,0.09076641381114309,0.0002615746795710175,3.9545454545454546,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0027100271002710027,Bad
org.joda.time.DurationField,2,22,1,4,3,190,20,20,0,0,0,0,0,294,4,1,2,2,2,1,2,1,11,3,6,6,11,3,6,6,3,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3478,3801,22,68776,346,3823,88,0.9937142857142857,0.006285714285714286,0.909756735547999,0.005754642950562386,39.77272727272727,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.006285714285714286,Bad
org.joda.time.field.BaseDurationField,2,15,2,2,8,60,12,11,0,2,0,1,4,150,10,1,5,5,4,1,2,3,24,3,18,8,24,3,18,7,2,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,1934,3801,22,10782,171,3823,88,0.9907786885245902,0.009221311475409836,0.5058854302903479,0.004708344232278315,22.181818181818183,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.009202453987730062,Fair
org.joda.time.DateTimeZone,19,155,1,3,68,1323,51,36,21,14,1,12,45,1241,227,4,49,26,192,4,42,35,5,10,5,53,7,8,7,49,0,7,24,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3465,3801,22,48397,98,3823,88,0.9945464982778416,0.0054535017221584384,0.9063562647135758,0.004969918911849333,39.59090909090909,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0054488098652136505,Bad
org.joda.time.tz.CachedDateTimeZone,3,38,2,0,16,42,17,13,1,10,2,2,1,182,41,3,18,12,23,2,11,6,36,7,10,31,38,5,11,23,3,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,278,3801,22,673,36,3823,88,0.996415770609319,0.0035842293906810036,0.07271776092074288,0.0002615746795710175,3.1704545454545454,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0033333333333333335,Bad
org.joda.time.field.PreciseDateTimeField,3,10,4,0,8,7,7,7,0,3,0,1,2,131,16,2,8,5,4,1,2,2,31,4,14,9,32,4,14,10,2,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,333,3801,22,3270,37,3823,88,0.9970059880239521,0.0029940119760479044,0.08710436829714883,0.0002615746795710175,3.7954545454545454,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.0028169014084507044,Bad
org.joda.time.field.BaseDateTimeField,6,89,2,5,46,1269,51,49,0,1,0,0,6,939,124,3,22,41,146,4,20,59,348,12,96,98,328,5,84,88,63,7,6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,2388,3801,22,32827,232,3823,88,0.992931392931393,0.007068607068607069,0.6246403348155899,0.004446769552707298,27.329545454545453,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.007053941908713693,Bad
org.joda.time.chrono.BasicMonthOfYearDateTimeField,6,43,4,1,39,0,18,16,0,5,0,2,7,328,116,4,19,37,48,2,10,15,413,27,98,129,285,6,50,71,8,3,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,1756,3801,22,21558,38,3823,88,0.9909706546275395,0.009029345372460496,0.45932513732670677,0.00418519487313628,20.136363636363637,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.008998875140607425,Bad
org.joda.time.chrono.BasicDayOfYearDateTimeField,6,14,4,0,13,0,10,7,0,2,0,1,4,89,12,3,7,5,7,2,3,5,39,3,19,13,40,3,19,13,2,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,1670,3801,22,5845,27,3823,88,0.9905100830367735,0.009489916963226572,0.4368297148835993,0.00418519487313628,19.15909090909091,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.009456264775413711,Fair
org.joda.time.chrono.GJYearOfEraDateTimeField,6,18,4,0,19,108,16,14,0,2,0,1,2,105,8,2,5,4,2,1,2,1,48,5,37,9,47,5,37,8,11,1,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,193,3801,22,394,7,3823,88,0.9698492462311558,0.03015075376884422,0.050483913157206385,0.0015694480774261052,2.2613636363636362,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.027906976744186046,Very-Good
org.joda.time.chrono.BasicWeekyearDateTimeField,4,28,4,0,24,26,17,15,0,3,0,2,4,224,46,3,13,21,11,2,5,6,160,18,48,87,118,5,33,57,9,2,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,354,3801,22,979,24,3823,88,0.9943820224719101,0.0056179775280898875,0.0925974365681402,0.000523149359142035,4.045454545454546,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.005319148936170213,Bad
org.joda.time.field.ImpreciseDateTimeField,6,27,5,4,6,217,22,20,0,4,0,2,1,172,17,2,7,11,11,3,3,11,26,4,26,24,26,4,26,24,8,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,312,3801,22,3657,57,3823,88,0.9936305732484076,0.006369426751592357,0.08161130002615746,0.000523149359142035,3.5681818181818183,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.005988023952095809,Bad
org.joda.time.tz.ZoneInfoProvider,2,34,1,0,30,31,11,5,2,4,0,0,5,263,46,3,9,11,42,3,13,12,110,7,28,32,102,4,25,20,6,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,965,3801,22,2766,23,3823,88,0.9948453608247423,0.005154639175257732,0.2524195657860319,0.0013078733978550876,11.022727272727273,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.005065856129685917,Bad
org.joda.time.field.PreciseDurationDateTimeField,3,15,3,5,7,13,10,9,0,3,0,1,1,148,25,3,12,7,10,1,4,3,32,3,14,6,33,3,14,7,1,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,1859,3801,22,8761,20,3823,88,0.9909381663113006,0.00906183368869936,0.4862673293225216,0.004446769552707298,21.318181818181817,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.009037745879851143,Fair
org.joda.time.DateTimeField,4,50,1,3,0,1225,50,50,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,338,3801,22,340,1,3823,88,0.9941176470588236,0.0058823529411764705,0.08841224169500392,0.000523149359142035,3.8636363636363638,1.0,0.2847573766624097,0.5695147533248194,0.9900448317921506,0.5638451381586189,0.005555555555555556,Bad
